"T","B","b","xmid","s","xshift","T2","B2","b2","xmid2","s2","xshift2"
0,1.03846153846154,-1,2,1,0,0.024390243902439,0.024390243902439,0,0,0,0
0,1.09090909090909,-1,6,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.39772727272727,-1,2,1,0,0.0714285714285714,0.0714285714285714,0,0,0,0
0,1.33333333333333,-1,3,1,0,0.672619047619048,0.672619047619048,0,0,0,0
0,1.21428571428571,-1,4,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.5,-1,5,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.75666666666667,-1,5,1,0,0.0277339901477833,0.0277339901477833,0,0,0,0
0,1.3,-1,4,1,0,0.0476190476190476,0.0476190476190476,0,0,0,0
0,2.75,-1,3,1,0,0.0101010101010101,0.0101010101010101,0,0,0,0
0,1.32142857142857,-1,6,1,0,0.133540372670807,0.133540372670807,0,0,0,0
0,2.25109126984127,-1,3,1,0,0.0407114624505929,0.0407114624505929,0,0,0,0
0,1,-1,5,1,0,0.369887152185289,0.369887152185289,0,0,0,0
0,1.18181818181818,-1,5,1,0,0.846153846153846,0.846153846153846,0,0,0,0
0,1.2,-1,6,1,0,0.461538461538462,0.461538461538462,0,0,0,0
0,1.13636363636364,-1,7,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1,-1,8,1,0,0.325,0.325,0,0,0,0
0,1.33333333333333,-1,9,1,0,0.0882352941176471,0.0882352941176471,0,0,0,0
0,1,-1,5,1,0,0.262838915470494,0.262838915470494,0,0,0,0
0,1.515625,-1,5,1,0,0.178030303030303,0.178030303030303,0,0,0,0
0,1.35,-1,2,1,0,0.25369532428356,0.25369532428356,0,0,0,0
0,1,-1,5,1,0,0.0277777777777778,0.0277777777777778,0,0,0,0
0,1,-1,13,1,0,0.369887152185289,0.369887152185289,0,0,0,0
0,1,-1,4,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1,-1,8,1,0,0.428571428571429,0.428571428571429,0,0,0,0
0,1,-1,6,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.33333333333333,-1,6,1,0,0.027027027027027,0.027027027027027,0,0,0,0
0,1,-1,6,1,0,0.0277339901477833,0.0277339901477833,0,0,0,0
0,1,-1,5,1,0,0.672619047619048,0.672619047619048,0,0,0,0
0,3.83333333333333,-1,2,1,0,0.880037503178235,0.880037503178235,0,0,0,0
0,1.25925925925926,-1,2,1,0,0.323225437796376,0.323225437796376,0,0,0,0
0,1,-1,5,1,0,0.19241452991453,0.19241452991453,0,0,0,0
0,1.375,-1,5,1,0,0.027027027027027,0.027027027027027,0,0,0,0
0,1.36458333333333,-1,4,1,0,0.719382972100363,0.719382972100363,0,0,0,0
0,2.51086956521739,-1,2,1,0,0.0745762711864407,0.0745762711864407,0,0,0,0
